date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-01,2026/62,AED,1,12.0201,12.1774
2026-04-01,2026/62,AUD,1,30.7490,30.9495
2026-04-01,2026/62,AZN,1,25.9676,26.3074
2026-04-01,2026/62,CAD,1,31.9078,32.0517
2026-04-01,2026/62,CHF,1,55.8338,56.1923
2026-04-01,2026/62,CNY,1,6.4211,6.5051
2026-04-01,2026/62,DKK,1,6.8783,6.9121
2026-04-01,2026/62,EUR,1,51.4787,51.5714
2026-04-01,2026/62,GBP,1,58.9134,59.2205
2026-04-01,2026/62,JPY,100,27.9344,28.1193
2026-04-01,2026/62,KRW,1,0.02934,0.02973
2026-04-01,2026/62,KWD,1,143.9118,145.7949
2026-04-01,2026/62,KZT,1,0.09292,0.09414
2026-04-01,2026/62,NOK,1,4.5804,4.6112
2026-04-01,2026/62,PKR,1,0.15821,0.16028
2026-04-01,2026/62,QAR,1,12.1078,12.2662
2026-04-01,2026/62,RON,1,10.0398,10.1712
2026-04-01,2026/62,RUB,1,0.54636,0.55351
2026-04-01,2026/62,SAR,1,11.8281,11.8495
2026-04-01,2026/62,SEK,1,4.7076,4.7563
2026-04-01,2026/62,USD,1,44.3938,44.4738
2026-04-02,2026/63,AED,1,12.0258,12.1832
2026-04-02,2026/63,AUD,1,30.4568,30.6554
2026-04-02,2026/63,AZN,1,25.9803,26.3203
2026-04-02,2026/63,CAD,1,31.8682,32.0119
2026-04-02,2026/63,CHF,1,55.4204,55.7762
2026-04-02,2026/63,CNY,1,6.4064,6.4902
2026-04-02,2026/63,DKK,1,6.8396,6.8732
2026-04-02,2026/63,EUR,1,51.1885,51.2807
2026-04-02,2026/63,GBP,1,58.5527,58.8579
2026-04-02,2026/63,JPY,100,27.7620,27.9458
2026-04-02,2026/63,KRW,1,0.02915,0.02953
2026-04-02,2026/63,KWD,1,143.9352,145.8186
2026-04-02,2026/63,KZT,1,0.09339,0.09462
2026-04-02,2026/63,NOK,1,4.5452,4.5757
2026-04-02,2026/63,PKR,1,0.15828,0.16035
2026-04-02,2026/63,QAR,1,12.1137,12.2722
