province,year,in_migration,out_migration,net_migration,net_migration_rate
Adana,2021,53649,65628,-11979,-5.3
Adıyaman,2021,17598,24860,-7262,-11.4
Afyonkarahisar,2021,24643,25327,-684,-0.9
Aksaray,2021,14210,15529,-1319,-3.1
Amasya,2021,15244,14540,704,2.1
Ankara,2021,197702,165604,32098,5.6
Antalya,2021,88305,80505,7800,3.0
Ardahan,2021,4750,6445,-1695,-17.7
Artvin,2021,8238,8224,14,0.1
Aydın,2021,46485,37246,9239,8.2
Ağrı,2021,14858,34800,-19942,-37.3
Balıkesir,2021,50218,40287,9931,8.0
Bartın,2021,10907,8794,2113,10.5
Batman,2021,19002,24411,-5409,-8.6
Bayburt,2021,9019,6382,2637,31.5
Bilecik,2021,11974,8855,3119,13.8
Bingöl,2021,12027,13376,-1349,-4.8
Bitlis,2021,14158,18814,-4656,-13.1
Bolu,2021,18470,14162,4308,13.6
Burdur,2021,15859,11489,4370,16.1
Bursa,2021,92019,76678,15341,4.9
Denizli,2021,30589,27480,3109,3.0
Diyarbakır,2021,40414,60761,-20347,-11.3
Düzce,2021,16828,14191,2637,6.6
Edirne,2021,19443,15822,3621,8.8
Elazığ,2021,20800,22429,-1629,-2.8
Erzincan,2021,16049,13564,2485,10.5
Erzurum,2021,28554,36798,-8244,-10.8
Eskişehir,2021,36776,31532,5244,5.9
Gaziantep,2021,50203,57475,-7272,-3.4
Giresun,2021,21392,19575,1817,4.0
Gümüşhane,2021,14114,11611,2503,16.8
Hakkari,2021,7886,13088,-5202,-18.5
Hatay,2021,35929,49001,-13072,-7.8
Isparta,2021,22632,19998,2634,5.9
Iğdır,2021,7563,10173,-2610,-12.8
Kahramanmaraş,2021,27246,35647,-8401,-7.1
Karabük,2021,16168,11598,4570,18.5
Karaman,2021,12420,10885,1535,5.9
Kars,2021,11259,16471,-5212,-18.4
Kastamonu,2021,18463,17241,1222,3.3
Kayseri,2021,40628,39915,713,0.5
Kilis,2021,7474,7262,212,1.5
Kocaeli,2021,83959,66332,17627,8.7
Konya,2021,64254,58865,5389,2.4
Kütahya,2021,21913,21052,861,1.5
Kırklareli,2021,17846,13855,3991,11.0
Kırıkkale,2021,13449,16187,-2738,-9.9
Kırşehir,2021,11676,13193,-1517,-6.2
Malatya,2021,28521,31737,-3216,-4.0
Manisa,2021,43325,40605,2720,1.9
Mardin,2021,28641,35957,-7316,-8.4
Mersin,2021,57213,57930,-717,-0.4
Muğla,2021,49545,35133,14412,14.2
Muş,2021,12190,24243,-12053,-29.3
Nevşehir,2021,13646,12396,1250,4.1
Niğde,2021,16287,16506,-219,-0.6
Ordu,2021,27516,28547,-1031,-1.4
Osmaniye,2021,18648,22445,-3797,-6.8
Rize,2021,15956,15605,351,1.0
Sakarya,2021,40379,31048,9331,8.8
Samsun,2021,47471,45791,1680,1.2
Siirt,2021,12670,16340,-3670,-11.0
Sinop,2021,13211,10548,2663,12.3
Sivas,2021,25720,28285,-2565,-4.0
Tekirdağ,2021,60190,37516,22674,20.6
Tokat,2021,35555,31400,4155,6.9
Trabzon,2021,29914,29442,472,0.6
Tunceli,2021,7054,6517,537,6.4
Uşak,2021,13705,12231,1474,4.0
Van,2021,30318,58185,-27867,-24.1
Yalova,2021,16965,11564,5401,18.7
Yozgat,2021,18320,22928,-4608,-11.0
Zonguldak,2021,20883,21991,-1108,-1.9
Çanakkale,2021,31210,19429,11781,21.4
Çankırı,2021,15288,12457,2831,14.5
Çorum,2021,18029,22011,-3982,-7.5
İstanbul,2021,385328,408165,-22837,-1.4
İzmir,2021,131394,109470,21924,5.0
Şanlıurfa,2021,40371,66987,-26616,-12.3
Şırnak,2021,17072,20431,-3359,-6.1
Adana,2022,55018,62156,-7138,-3.1
Adıyaman,2022,18780,23359,-4579,-7.2
Afyonkarahisar,2022,23667,25425,-1758,-2.3
Aksaray,2022,14264,14147,117,0.3
Amasya,2022,15217,13847,1370,4.1
Ankara,2022,189104,161912,27192,4.7
Antalya,2022,92004,78986,13018,4.9
Ardahan,2022,5391,8157,-2766,-29.5
Artvin,2022,9983,9879,104,0.6
Aydın,2022,45705,36499,9206,8.0
Ağrı,2022,16871,37676,-20805,-39.9
Balıkesir,2022,49652,40975,8677,6.9
Bartın,2022,9990,8634,1356,6.7
Batman,2022,20528,24070,-3542,-5.6
Bayburt,2022,7031,8232,-1201,-14.2
Bilecik,2022,12078,9453,2625,11.5
Bingöl,2022,11900,14926,-3026,-10.7
Bitlis,2022,15111,19885,-4774,-13.4
Bolu,2022,15750,14224,1526,4.8
Burdur,2022,14684,13187,1497,5.5
Bursa,2022,90863,70447,20416,6.4
Denizli,2022,29528,26478,3050,2.9
Diyarbakır,2022,45963,59751,-13788,-7.6
Düzce,2022,17049,15220,1829,4.5
Edirne,2022,19699,16197,3502,8.5
Elazığ,2022,21060,22271,-1211,-2.0
Erzincan,2022,15946,15542,404,1.7
Erzurum,2022,26629,39159,-12530,-16.6
Eskişehir,2022,37278,29766,7512,8.3
Gaziantep,2022,50192,55699,-5507,-2.6
Giresun,2022,20947,20130,817,1.8
Gümüşhane,2022,11496,15580,-4084,-27.9
Hakkari,2022,9783,13928,-4145,-14.9
Hatay,2022,39530,47597,-8067,-4.8
Isparta,2022,20948,20653,295,0.7
Iğdır,2022,9827,11673,-1846,-9.0
Kahramanmaraş,2022,29319,34501,-5182,-4.4
Karabük,2022,13801,12987,814,3.2
Karaman,2022,11387,10969,418,1.6
Kars,2022,11568,18787,-7219,-25.9
Kastamonu,2022,19960,16321,3639,9.7
Kayseri,2022,38374,38902,-528,-0.4
Kilis,2022,8008,7629,379,2.6
Kocaeli,2022,89685,62534,27151,13.1
Konya,2022,57578,57765,-187,-0.1
Kütahya,2022,20014,21209,-1195,-2.1
Kırklareli,2022,18230,13843,4387,11.9
Kırıkkale,2022,14645,14703,-58,-0.2
Kırşehir,2022,13231,11934,1297,5.3
Malatya,2022,28684,30104,-1420,-1.7
Manisa,2022,43466,37527,5939,4.1
Mardin,2022,28747,36382,-7635,-8.7
Mersin,2022,60984,57001,3983,2.1
Muğla,2022,49179,36702,12477,12.0
Muş,2022,13847,24941,-11094,-27.4
Nevşehir,2022,12803,12029,774,2.5
Niğde,2022,15801,15661,140,0.4
Ordu,2022,28878,27184,1694,2.2
Osmaniye,2022,20565,21827,-1262,-2.3
Rize,2022,14716,16938,-2222,-6.4
Sakarya,2022,41396,31141,10255,9.5
Samsun,2022,48681,43757,4924,3.6
Siirt,2022,12356,17607,-5251,-15.7
Sinop,2022,14155,11291,2864,13.1
Sivas,2022,24583,27668,-3085,-4.8
Tekirdağ,2022,63354,37969,25385,22.5
Tokat,2022,28325,35358,-7033,-11.7
Trabzon,2022,28168,30339,-2171,-2.7
Tunceli,2022,8081,7578,503,6.0
Uşak,2022,13255,12313,942,2.5
Van,2022,33903,62422,-28519,-25.0
Yalova,2022,18466,12007,6459,22.0
Yozgat,2022,19580,22042,-2462,-5.9
Zonguldak,2022,20334,21695,-1361,-2.3
Çanakkale,2022,27747,22233,5514,9.9
Çankırı,2022,13649,14061,-412,-2.1
Çorum,2022,18723,20448,-1725,-3.3
İstanbul,2022,385294,418082,-32788,-2.1
İzmir,2022,132426,107312,25114,5.6
Şanlıurfa,2022,45648,68264,-22616,-10.4
Şırnak,2022,20096,23469,-3373,-6.0
Adana,2023,66104,77898,-11794,-5.2
Adıyaman,2023,23294,48372,-25078,-40.6
Afyonkarahisar,2023,30431,26427,4004,5.3
Aksaray,2023,20400,15112,5288,12.1
Amasya,2023,19307,15046,4261,12.6
Ankara,2023,232700,208740,23960,4.1
Antalya,2023,118356,88758,29598,11.0
Ardahan,2023,6856,6811,45,0.5
Artvin,2023,13425,10352,3073,18.0
Aydın,2023,52916,41605,11311,9.8
Ağrı,2023,23324,30696,-7372,-14.3
Balıkesir,2023,60574,43098,17476,13.8
Bartın,2023,13197,8926,4271,20.8
Batman,2023,27888,25138,2750,4.3
Bayburt,2023,10202,8309,1893,22.2
Bilecik,2023,13762,11323,2439,10.8
Bingöl,2023,15784,14325,1459,5.1
Bitlis,2023,19286,19795,-509,-1.4
Bolu,2023,18099,15105,2994,9.3
Burdur,2023,18013,14536,3477,12.6
Bursa,2023,95935,89763,6172,1.9
Denizli,2023,32655,29994,2661,2.5
Diyarbakır,2023,49440,63878,-14438,-7.9
Düzce,2023,19891,16124,3767,9.2
Edirne,2023,22281,17181,5100,12.2
Elazığ,2023,35924,24456,11468,19.2
Erzincan,2023,19786,19054,732,3.0
Erzurum,2023,34129,38115,-3986,-5.3
Eskişehir,2023,45072,34020,11052,12.1
Gaziantep,2023,65524,73835,-8311,-3.8
Giresun,2023,35227,22520,12707,27.9
Gümüşhane,2023,24177,13873,10304,71.9
Hakkari,2023,14956,12732,2224,7.8
Hatay,2023,37068,164247,-127179,-79.1
Isparta,2023,25149,21847,3302,7.4
Iğdır,2023,12781,10830,1951,9.3
Kahramanmaraş,2023,31582,82119,-50537,-44.3
Karabük,2023,17977,14615,3362,13.3
Karaman,2023,15156,11829,3327,12.7
Kars,2023,15376,16382,-1006,-3.6
Kastamonu,2023,30284,17608,12676,33.1
Kayseri,2023,47180,46791,389,0.3
Kilis,2023,12750,7604,5146,33.7
Kocaeli,2023,92564,81219,11345,5.4
Konya,2023,75214,61210,14004,6.1
Kütahya,2023,24281,28405,-4124,-7.1
Kırklareli,2023,22171,14336,7835,21.0
Kırıkkale,2023,23664,13403,10261,36.6
Kırşehir,2023,16475,12735,3740,15.2
Malatya,2023,34414,102621,-68207,-87.8
Manisa,2023,46467,42259,4208,2.9
Mardin,2023,37903,33904,3999,4.5
Mersin,2023,80493,67409,13084,6.8
Muğla,2023,63562,40554,23008,21.8
Muş,2023,18904,22595,-3691,-9.2
Nevşehir,2023,19072,13307,5765,18.4
Niğde,2023,26089,15991,10098,27.1
Ordu,2023,43974,29843,14131,18.4
Osmaniye,2023,27059,30896,-3837,-6.9
Rize,2023,24347,18372,5975,17.2
Sakarya,2023,47730,33515,14215,13.0
Samsun,2023,65364,50570,14794,10.8
Siirt,2023,21120,16468,4652,13.5
Sinop,2023,20887,11499,9388,41.7
Sivas,2023,48214,31783,16431,25.6
